municipality,province,population,latitude,longitude
Dinkelland,Overijssel,25937.0,52.407617,6.89726
Doesburg,Gelderland,11449.0,52.014288,6.139782
Doetinchem,Gelderland,56350.0,51.964699,6.293774
Dongen,Noord-Brabant,25389.0,51.62871,4.938239
Dongeradeel,Friesland,24183.0,53.324884,5.996639
Dordrecht,Zuid-Holland,118716.0,51.813298,4.690093
Drechterland,Noord-Holland,19257.0,52.653307,5.183589
Drimmelen,Noord-Brabant,26705.0,51.708552,4.80349
Dronten,Flevoland,40451.0,52.534682,5.721809
Druten,Gelderland,18206.0,51.894084,5.594272
Duiven,Gelderland,25580.0,51.947458,6.01795
Echt-Susteren,Limburg,31940.0,51.093224,5.907364
Edam-Volendam,Noord-Holland,28934.0,52.504541,5.045998
Ede,Gelderland,110657.0,52.040168,5.664859
Eemnes,Utrecht,8773.0,52.253746,5.261275
Eemsmond,Groningen,15910.0,53.400344,6.64841
Eersel,Noord-Brabant,18201.0,51.357808,5.315912
Eijsden-Margraten,Limburg,24980.0,50.81996,5.821457
Eindhoven,Noord-Brabant,220782.0,51.441642,5.469722
Elburg,Gelderland,22658.0,52.449263,5.834519
Emmen,Drenthe,108003.0,52.713237,6.955777
Enkhuizen,Noord-Holland,18395.0,52.707566,5.27412
Enschede,Overijssel,158542.0,52.221537,6.893662
Epe,Gelderland,32352.0,52.345017,5.983654
Ermelo,Gelderland,26080.0,52.298665,5.629619
Etten-Leur,Noord-Brabant,42351.0,51.586886,4.667138
Ferwerderadiel,Friesland,8771.0,53.337834,5.823835
Geertruidenberg,Noord-Brabant,21597.0,51.702366,4.849978
Geldermalsen,Gelderland,26339.0,51.884365,5.229359
Geldrop-Mierlo,Noord-Brabant,38854.0,51.432447,5.58297
Gemert-Bakel,Noord-Brabant,29354.0,51.555289,5.690366
Gennep,Limburg,17285.0,51.697854,5.972675
Giessenlanden,Zuid-Holland,14423.0,51.865735,4.924345
Gilze en Rijen,Noord-Brabant,26013.0,51.559855,4.909254
Goeree-Overflakkee,Zuid-Holland,48233.0,51.759197,4.116981
Goes,Zeeland,36977.0,51.504646,3.89113
