,code,name,country,daily_capacity,geo_lat,geo_lng
178,AMFS,Amersfoort Schothorst,NL,63218.4375,52.174822137451,5.4038887023926
179,DLD,Den Dolder,NL,31882.5,52.140277862549,5.2427778244019
180,BHV,Bilthoven,NL,31882.5,52.130001068115,5.2038888931274
181,O,Oss,NL,49976.125,51.765556335449,5.5322222709656
182,DR,Dieren,NL,47380.625,52.044998168945,6.1030554771423
183,ZP,Zutphen,NL,47800.25,52.145278930664,6.1941666603088
184,OST,Olst,NL,33422.5,52.334720611572,6.1130557060242
185,WH,Wijhe,NL,33422.5,52.390277862549,6.1405553817749
186,HTO,'s-Hertogenbosch Oost,NL,16091.125,51.700553894043,5.3183331489563
187,RS,Rosmalen,NL,16091.125,51.714721679688,5.3680553436279
188,OW,Oss West,NL,16091.125,51.758056640625,5.5055556297302
189,RVS,Ravenstein,NL,15164.625,51.794166564941,5.6358332633972
190,WC,Wijchen,NL,26146.375,51.811668395996,5.730833530426
191,NMD,Nijmegen Dukenburg,NL,26132.75,51.824165344238,5.7955555915833
192,NMGO,Nijmegen Goffert,NL,26132.75,51.8273,5.822722
193,NML,Nijmegen Lent,NL,28365.25,51.863154,5.859625
194,EST,Elst,NL,29829.75,51.916942596435,5.8550000190735
195,AHZ,Arnhem Zuid,NL,28350.75,51.955001831055,5.8519444465637
196,VL,Venlo,NL,32842.5,51.363609313965,6.1727776527405
197,BR,Blerick,NL,32842.5,51.372501373291,6.1550002098083
198,HRT,Horst-Sevenum,NL,32842.5,51.426387786865,6.0422220230103
199,DN,Deurne,NL,46549.25,51.455833435059,5.7888889312744
200,HM,Helmond,NL,46549.25,51.475555419922,5.6619443893433
201,HMBH,Helmond Brouwhuis,NL,13706.75,51.47068,5.70177
202,HMH,Helmond 't Hout,NL,13706.75,51.46794,5.63085
203,HMBV,Helmond Brandevoort,NL,13706.75,51.462223052979,5.6072220802307
204,TL,Tiel,NL,16050.25,51.889446258545,5.4222221374512
205,TPSW,Tiel Passewaaij,NL,16050.25,51.873889923096,5.39222240448
206,KPNZ,Kampen Zuid,NL,16505.5625,52.5331,5.91309
207,DRON,Dronten,NL,16505.5625,52.5344,5.72089
208,ODB,Oudenbosch,NL,13605.3125,51.587776184082,4.5333333015442
209,ZVB,Zevenbergen,NL,13605.3125,51.64042,4.60904
210,ZLW,Lage Zwaluwe,NL,30439.0,51.69111251831,4.6630554199219
211,DDZD,Dordrecht Zuid,NL,30439.0,51.790000915527,4.6713891029358
212,BNK,Bunnik,NL,19281.125,52.063056945801,5.1944446563721
213,MRN,Maarn,NL,19281.125,52.064167022705,5.3699998855591
214,VNDW,Veenendaal West,NL,19252.125,52.028057098389,5.531388759613
215,VNDC,Veenendaal Centrum,NL,19252.125,52.020000457764,5.548611164093
216,RHN,Rhenen,NL,16356.8125,51.958610534668,5.5783333778381
217,BDPB,Breda-Prinsenbeek,NL,16833.6875,51.606388092041,4.7208333015442
218,OVN,Overveen,NL,16799.625,52.391109466553,4.6061110496521
219,ZVT,Zandvoort aan Zee,NL,16799.625,52.3752784729,4.5327777862549
220,TBR,Tilburg Reeshof,NL,16783.4375,51.573612213135,4.9944443702698
221,GZ,Gilze-Rijen,NL,16783.4375,51.583610534668,4.9261112213135
222,BMN,Brummen,NL,14639.625,52.091110229492,6.1469445228577
223,RH,Rheden,NL,14639.625,52.0101,6.0314
224,VP,Velp,NL,14639.625,51.994720458984,5.9802780151367
225,AHPR,Arnhem Presikhaaf,NL,14639.625,51.988056182861,5.9438886642456
226,AHP,Arnhem Velperpoort,NL,14639.625,51.985279083252,5.9194445610046
227,HRL,Heerlen,NL,31494.0,50.89083480835,5.9749999046326
228,OTB,Oosterbeek,NL,12979.5625,51.994998931885,5.8400001525879
229,WF,Wolfheze,NL,12979.5625,52.005554199219,5.7936110496521
230,OBD,Obdam,NL,14061.0,52.67805480957,4.9072222709656
231,SD,Soestdijk,NL,16050.25,52.183612823486,5.3000001907349
232,ST,Soest,NL,16050.25,52.173332214355,5.3099999427795
233,STZ,Soest Zuid,NL,16050.25,52.165279388428,5.3030557632446
234,LDL,Leiden Lammenschans,NL,39244.9375,52.146945953369,4.4924998283386
235,APN,Alphen a/d Rijn,NL,39244.9375,52.124443054199,4.6577777862549
236,BDG,Bodegraven,NL,34829.0,52.081390380859,4.7461109161377
237,WDN,Wierden,NL,14217.6875,52.361389160156,6.5916666984558
238,RSN,Rijssen,NL,14217.6875,52.3122215271,6.5202779769897
239,HON,Holten,NL,14217.6875,52.283889770508,6.42027759552
240,DVC,Deventer Colmschate,NL,14217.6875,52.2502784729,6.2144446372986
241,TWL,Twello,NL,13148.125,52.237777709961,6.0986108779907
242,APDO,Apeldoorn Osseveld,NL,13148.125,52.215278625488,6.0044445991516
251,AMRI,Almelo de Riet,NL,3978.5,52.341945648193,6.6666665077209
252,BN,Borne,NL,3978.5,52.298889160156,6.7480554580689
253,ESK,Enschede Kennispark,NL,3747.25,52.23749923706,6.8388891220093
